,id,comments_id,comments_created_time,comments_message,Clustering
0,365304090334712_698770025625333,698770025625333_338325482002707,2023-09-06T14:56:41+0000,بكام من فضلك,3
1,365304090334712_698770025625333,698770025625333_1320804668550741,2023-09-07T04:28:43+0000,بكام لو سمحت,1
2,365304090334712_698770025625333,698770025625333_239727935224103,2023-09-02T13:38:29+0000,"بكام السفرة كاملة
ولو الترابيزة لوحدها ب٦ كراسي كام 
ولو ٨ كراسي كام",0
3,365304090334712_698770025625333,698770025625333_6564767036977506,2023-09-04T01:36:03+0000,بكام,3
4,365304090334712_698770025625333,698770025625333_843465190766784,2023-09-01T14:17:33+0000,سعر التربيزه والكرسي للوحدهم كام,0
5,365304090334712_698770025625333,698770025625333_309356931647422,2023-09-02T00:54:31+0000,بكام,3
6,365304090334712_698770025625333,698770025625333_699778765301568,2023-09-01T21:10:17+0000,كام السعر,2
7,365304090334712_698770025625333,698770025625333_567734928752789,2023-09-01T21:43:32+0000,السعر لو سمحت,2
8,365304090334712_698770025625333,698770025625333_856362579440097,2023-09-01T17:15:18+0000,السفره بكام,3
9,365304090334712_698770025625333,698770025625333_1458750181575705,2023-09-02T14:45:07+0000,بكام,3
10,365304090334712_698770025625333,698770025625333_248337054833368,2023-09-01T14:13:15+0000,السعر كام,2
11,365304090334712_698770025625333,698770025625333_658932336207641,2023-09-06T20:12:12+0000,بالتفصيل لو سمحت سعر كل قطعة,1
12,365304090334712_698770025625333,698770025625333_257158090558526,2023-09-01T13:37:06+0000,شغلهم جامد جدا وكل قطعه ليها تمن ممكن تاخدها اولا حسب مساحتك والمودىلات كتيره  من احسن الشركات اللي بنتعامل معاها انا وعيلتي كلها لىامانه,4
13,365304090334712_698770025625333,698770025625333_253741190952815,2023-09-02T09:21:22+0000,السعر,2
14,365304090334712_698770025625333,698770025625333_6360985837352090,2023-09-02T08:39:16+0000,بكام,3
15,365304090334712_698770025625333,698770025625333_855453049476594,2023-09-02T11:58:29+0000,بكام,3
16,365304090334712_698770025625333,698770025625333_2934826699993206,2023-09-03T14:58:10+0000,سعر,0
17,365304090334712_698770025625333,698770025625333_848228893335823,2023-09-06T20:11:41+0000,بكام لو سمحت,1
18,365304090334712_698770025625333,698770025625333_261090730182506,2023-09-02T16:54:16+0000,لو ترابيزه ب ٦ كراسي بكام ؟,1
19,365304090334712_698770025625333,698770025625333_345110557847842,2023-09-06T14:49:46+0000,ممكن السعر,2
20,365304090334712_698770025625333,698770025625333_611354217873941,2023-09-01T16:27:24+0000,كام السعر,2
21,365304090334712_698770025625333,698770025625333_263337839856150,2023-09-04T08:53:36+0000,السعر,2
22,365304090334712_698770025625333,698770025625333_851201466673954,2023-09-03T12:37:34+0000,بكم؟,4
23,365304090334712_698770025625333,698770025625333_260312866874582,2023-09-01T13:19:59+0000,كم السعر ؟,2
24,365304090334712_698770025625333,698770025625333_841540623895710,2023-09-06T10:19:10+0000,ممكن سعر السفرة و٦ كراسي فقط بدون نيش او بوفيه,0
25,365304090334712_693585412810461,693585412810461_3677813612453314,2023-08-23T08:42:07+0000,بكام من فضلك مقاس ١٢٠وايه نوعها,4
26,365304090334712_693585412810461,693585412810461_254522737484325,2023-08-25T21:35:33+0000,بكام,3
27,365304090334712_693585412810461,693585412810461_605483795092054,2023-09-01T20:06:16+0000,بكام مرتبة ١٦٠,4
28,365304090334712_693585412810461,693585412810461_620463813547762,2023-09-06T00:53:10+0000,كم سعرها مقاس سرير 120,0
29,365304090334712_693585412810461,693585412810461_1003572907625559,2023-08-29T12:30:35+0000,ممكن كراسي كافية ومطاعم,4
30,365304090334712_693585412810461,693585412810461_2265908167132655,2023-09-07T05:07:33+0000,بكام المرتبة ال ١٢٠,4
31,365304090334712_693585412810461,693585412810461_1391368038395297,2023-09-05T12:40:24+0000,الاسعار لو سمحت,1
32,365304090334712_693585412810461,693585412810461_325289309956875,2023-08-25T17:26:39+0000,ممكن صوره المكاتب المتاحه والاسعار,4
33,365304090334712_693585412810461,693585412810461_1352580939016102,2023-08-24T20:31:50+0000,بكام مرتبه ١٦٠,4
34,365304090334712_693585412810461,693585412810461_844465496814173,2023-08-28T20:19:30+0000,طريقة التقسيط ازاى لو سمحت,1
35,365304090334712_693585412810461,693585412810461_822335339614485,2023-08-29T13:19:53+0000,كم السعر,2
36,365304090334712_693585412810461,693585412810461_6903171713129330,2023-08-23T11:44:13+0000,بكام ال 140 سم,4
37,365304090334712_693585412810461,693585412810461_811610517374951,2023-09-02T15:02:19+0000,سعر ١٥٠×٢٠٠,0
38,365304090334712_693585412810461,693585412810461_1489138045193332,2023-09-04T17:57:56+0000,سعر كنبه سحاره من فضلكم,0
39,365304090334712_693585412810461,693585412810461_314037017671582,2023-08-28T15:50:38+0000,بكام ؟,3
40,365304090334712_693585412810461,693585412810461_1007688157226826,2023-08-26T15:22:13+0000,عنوان مدينة نصر؟,4
41,365304090334712_693585412810461,693585412810461_957988275271079,2023-08-26T05:26:33+0000,الاسعار كام,0
42,365304090334712_693585412810461,693585412810461_528095189496190,2023-08-23T21:42:09+0000,بتشتغلوا الجمعه ولا اجازة !,4
43,365304090334712_693585412810461,693585412810461_3578419309096849,2023-08-23T12:13:34+0000,مرتبة ١٢٠ بكام والارتفاع ممكن تفاصيل,4
44,365304090334712_693585412810461,693585412810461_1228909491838026,2023-08-25T14:04:08+0000,"١٢٠ السعر 
١٦٠ السعر",2
45,365304090334712_693585412810461,693585412810461_1966995090366139,2023-09-02T20:33:53+0000,بكام,3
46,365304090334712_693585412810461,693585412810461_3537557683194115,2023-08-25T10:26:23+0000,الاسعار كام,0
47,365304090334712_693585412810461,693585412810461_1638726683315952,2023-08-25T23:18:50+0000,سعر المرتبة 160,0
48,365304090334712_693585412810461,693585412810461_1048800326498888,2023-08-27T16:16:28+0000,بكام ١٥٠,4
49,365304090334712_693585412810461,693585412810461_702667215261405,2023-08-23T08:19:56+0000,جيده جدا  مناسبه للسعر,4
50,365304090334712_693062392862763,693062392862763_1795968050861288,2023-08-22T09:29:57+0000,فين. فى المعادى,4
51,365304090334712_693062392862763,693062392862763_1698135713994419,2023-08-22T08:16:43+0000,نسبة الخصم على المطابخ كام؟؟,0
52,365304090334712_693062392862763,693062392862763_527205839561111,2023-08-23T12:04:29+0000,سعر ال ٣ غرف كام,0
53,365304090334712_693062392862763,693062392862763_837014198025848,2023-08-25T20:02:34+0000,بكام السفره لوسمحت,4
54,365304090334712_693062392862763,693062392862763_312515337966168,2023-08-27T23:40:36+0000,ممكن صور غرف نوم اطفال واسعارها,4
